,Department,Population 2022
0,Alta Verapaz,1381253.0
1,Baja Verapaz,339138.0
2,Chimaltenango,759217.0
3,Chiquimula,453449.0
4,El Progreso,195673.0
5,Escuintla,813169.0
6,Guatemala,3599257.0
7,Huehuetenango,1426830.0
8,Izabal,452338.0
9,Jalapa,407468.0
10,Jutiapa,558105.0
11,Peten,631305.0
12,Quetzaltenango,923211.0
13,Quiche,1100815.0
14,Retalhuleu,381635.0
15,Sacatepequez,402357.0
16,San Marcos,1206198.0
17,Santa Rosa,451731.0
18,Solola,481114.0
19,Suchitepequez,619475.0
20,Totonicapan,500941.0
21,Zacapa,273207.0
